"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"3","Chaoyang",3044.6,12.2011577424023,2.81620839363242,3.589001447178,5.7959479015919,24.6732214,6.550614202,2.67292912,2.511659988,19698,154.563915118286,27.6916507915654,23.0814849958487,29.4152532321196,47.5032617720318,5.827807143,0,0
"4","Jinzhou",2949.6,15.5282199710564,2.86975397973951,4.04052098408104,8.61939218523878,28.0786954,6.371372389,3.266883645,4.131068619,10048,293.550955414013,36.3778139408733,18.4808946877912,26.0205032618826,55.5079217148183,5.45155,0,0
"5","Huludao",2537.9,11.6801736613603,1.92619392185239,4.37337192474674,5.38060781476122,25.9176879,6.58575988,2.088340754,3.096827472,10416,243.653993855607,31.8018834469443,16.4911411225375,37.4426960723578,46.0661628051047,5.713642857,0,0
"6","Changchun",9300,85.4428364688857,5.03762662807525,36.1128798842258,44.2923299565847,18.019916,6.021505376,3.4,2.203028664,20594,451.587841118772,63.4849462365591,5.895902847174,42.2655442827865,51.8385528700395,5.5896,0.52517,0.0565
"7","Haerbin",10763,75.9681620839363,8.24167872648336,16.3140376266281,51.4124457308249,19.9752671,8.296943231,2.267025922,2.796618043,53076,202.784686110483,48.7726470314968,10.8488589172096,21.4748352192632,67.6763058635273,5.32195,7.799835,0.72469
"24","Tangshan",7964,99.7105643994211,7.68740955137482,52.2908827785818,39.7322720694645,22.485092,6.278252135,3.013561025,2.887995982,14198,560.924073813213,86.5143144148669,7.70972423802613,52.4426705370102,39.8476052249637,5.579178571,0,0
"25","Qinhuangdao",3146.3,23.3287988422576,2.98581765557164,7.67206946454414,12.6709117221418,21.9140492,6.062358961,3.130661412,2.997171281,7803,403.21671152121,51.2354193814957,12.7988486495205,32.8866887507599,54.3144625997196,5.3535,0,0
"26","Handan",9549.7,50.4486251808973,4.95513748191027,22.4978292329957,22.9971056439942,17.9477889,5.870132046,5.762170539,2.170434673,12065,791.520928305015,36.5037645161628,9.82214572576018,44.5955249569707,45.5851979345955,5.489271429,7.90413,0.827684
"27","Xingtai",7395.2,30.6795947901592,4.10332850940666,12.056005788712,14.5202604920405,18.465146,5.15766984,2.84671138,1.977498918,12433,594.804150245315,28.6667027260926,13.3747806562388,39.2964961603049,47.3287231834563,5.365528571,6.284755,0.849842
"28","Baoding",8975.5,51.4905933429812,5.44102604920405,21.3883285094067,24.6673574529667,23.5809914,5.449125469,2.777985533,2.243757546,22185,404.575163398693,39.6412456130578,10.5670292299044,41.5383220910624,47.9065317594154,5.031178571,5.335465,0.594448
"29","Zhangjiakou",4423.3,22.4465991316932,3.52793053545586,6.44587554269175,12.4727930535456,24.6813705,6.15,2.43,1.621024137,36797,120.208169144224,35.0656749485678,15.7169935399017,28.7164906580016,55.5665158020966,5.134407143,0,0
"30","Chengde",3582.7,21.287988422576,4.31259044862518,7.06946454413893,9.90593342981187,21.417509,6.252267843,2.430290005,2.323387389,39490,90.7242339832869,41.0584196276551,20.2583276682529,33.2087015635622,46.5329707681849,5.124735714,0,0
"31","Cangzhou",7544.3,51.9247467438495,4.23444283646889,20.698986975398,26.9898697539797,20.8912858,5.471017855,2.944474636,2.297231022,14304,527.425894854586,47.559084341821,8.15496098104794,39.8634336677815,51.9788182831661,5.6307,3.650725,0.483905
"32","Langfang",4920.5,46.2518089725036,2.92773950795948,16.9327872648336,26.3866570188133,17.8377216,5.017574329,2.799900757,2.163916801,6419,766.552422495716,64.9527487044,6.33,36.61,57.05,4.514335714,0,0
"33","Hengshui",4486,21.7785817655572,3.13458755426918,7.12156295224313,11.5224312590449,21.6397481,4.728488631,2.982612572,1.913508694,8837,507.638338802761,33.5465893892109,14.3929829224533,32.6998471659246,52.907169911622,5.500757143,0,0
"35","Datong",3643,19.0853835021708,1.02749638205499,7.10130246020261,10.9565846599132,15.3585262,6.272303047,2.786165248,2.655503706,14178,256.947383269855,36.2009332967335,5.38368213527449,37.208067940552,57.4082499241735,5.173157143,0,0
"36","Shuozhou",1784.5,15.3646888567294,0.875542691751085,6.12011577424023,8.36903039073806,13.2591684,5.662650602,1.604244694,1.267733515,10625,167.952941176471,59.4956570467918,5.69840821324291,39.8323443533955,54.4692474333616,5.238378571,0,0
"37","Xinzhou",3172.9,14.4949348769899,1.24167872648336,6.30390738060782,6.95079594790159,18.18,4.428440859,1.912673392,1.605296343,25152,126.149013994911,31.5673358756973,8.56629392971246,43.4904153354633,47.9532747603834,4.767985714,0,0
"38","Yangquan",1417.5,10.4037626628075,0.170767004341534,4.73661360347323,5.49638205499276,16.76,4.975661376,2.86984926,3.30538194,4559,310.923448124589,50.716049382716,1.64139657810544,45.5278898316873,52.8307135902073,5.170135714,0,0
"39","Changzhi",3478,23.9088277858177,0.92040520984081,12.6613603473227,10.3270622286541,21.93489,5.663312248,2.727717079,2.776308223,13955,249.229666786098,47.5014376078206,3.84964590521155,52.9568428061255,43.1935112886629,5.022642857,0,0
"40","Jincheng",2353,19.7163531114327,0.804630969609262,10.6526772793054,8.25904486251809,14.6350012,5.482362941,2.45761105,2.279458837,9425,249.655172413793,57.9005524861879,4.08103347034645,54.0296535525543,41.8893129770992,5.560357143,0,0
"41","Luliang",3890.9,21.8827785817656,1.00868306801737,13.0738060781476,7.80028943560058,13.1648429,3.983654167,1.856454149,1.521307587,21239,183.196007344979,38.8624739777429,4.60948349976853,59.7447258779181,35.6457906223133,5.118557143,0,0
"42","Jinzhong",3389.484,21.1287988422576,1.67004341534009,9.46888567293777,9.98986975397974,17.3829141,5.24829148,2.366731927,2.608361627,16444,206.122841157869,43.0744030654814,7.9041095890411,44.8150684931507,47.2808219178082,4.695792857,0.83195,0.24545
"43","Linfen",4508.4,21.0217076700434,1.49782923299566,9.09406657018813,10.4298118668596,13.8986194,5.190311419,2.578070975,2.45118953,20275,222.36251541307,32.2198562682992,7.12515489467162,43.2603607324797,49.6144843728487,5.394821429,0,0
"44","Yuncheng",5372.6,22.6179450072359,3.589001447178,7.82489146164978,11.2040520984081,16.6,6.330826788,2.471429103,2.408331162,14183,378.805612352817,29.0901984141756,15.8679378079212,34.5959434384797,49.5361187535991,5.442442857,1.00861,0.187732
"47","Zibo",4697,52.712011577424,2.16063675832127,26.3068017366136,24.2445730824891,22.4618515,6.812859272,3.619331488,3.619331488,5965,787.42665549036,77.5473706621248,4.09894575005491,49.9066549527784,45.9943992971667,5.807478571,0,0
"48","Zaozhuang",3933,24.5138929088278,2.29913169319826,10.6654124457308,11.5493487698987,19.6882533,6.097381134,2.823798627,3.490719553,4564,861.744084136722,43.0691584032545,9.37889262121364,43.507624372015,47.1134830067713,6.095178571,0,0
"49","Weifang",9351.5,82.3227206946454,7.48798842257598,33.1554269175109,41.6793053545586,24.9551591,6.73688713,3.208041491,3.421910923,16143,579.291333705012,60.82981339892,9.0958952272128,40.2749406697723,50.6291641030149,5.411914286,0.3245,0.0347
"50","Jining",8356,63.2441389290883,7.29146164978292,25.470477568741,30.4821997105644,19.1898677,6.34,3.03,3.55,11187,746.938410655225,52.2997845859263,11.5290709514733,40.2732616808957,48.197667367631,5.756364286,2.127945,0.254661
"51","Taian",5635,38.5470332850941,4.17800289435601,14.9956584659913,19.3733719247467,22.3846228,5.893522626,2.661756877,3.157586513,7762,725.972687451688,47.2688553682342,10.8387145217,38.9022375732092,50.2590479050909,5.453135714,0,0
"52","Rizhao",2949,28.210998552822,2.42793053545586,12.0387843704776,13.7442836468886,24.7560723,5.732112581,2.667683961,2.914208206,5359,550.289233065871,66.1030857917938,8.60632611394392,42.6740809898532,48.7195928962029,5.357178571,0,0
"53","Linyi",10667.1,66.5738060781476,5.92590448625181,25.2167872648336,35.4311143270622,21,6.091961596,2.288027108,2.667074548,17191,620.50491536269,43.1255917728342,8.90125536655617,37.8779414162274,53.2208032172164,5.549442857,3.00349,0.281566
"54","Dezhou",5748.5,43.7376266280753,4.51345875542692,18.287988422576,20.9361794500724,20.8750109,4.897973384,2.821605636,2.364616857,10358,554.981656690481,52.5749325911107,10.3193956860241,41.8129419277563,47.8676623862196,5.7671,0,0
"55","Liaocheng",6098.3,32.7036179450072,4.59623733719248,11.676989869754,16.4303907380608,19.7159864,5.509095399,2.258622109,2.518725821,8628,706.803430690774,37.0565567453225,14.0542167075254,35.7054986680355,50.2402846244391,5.705992857,0,0
"56","Binzhou",3923,35.5599131693198,3.3315484804631,15.0652677279305,17.1630969609262,23.6929984,5.672954372,2.884527148,3.146061687,9660,406.107660455486,62.6354830486872,9.36883187706282,42.3658732128977,48.2652949100395,5.90835,0,0
"57","Heze",8781.7,49.348480463097,4.68248914616498,21.0382054992764,23.6277858176556,14.5287682,5.759,2.687292893,2.710636893,12155,722.476347182229,38.8305225639683,9.48861870157596,42.6319215948481,47.879459703576,5.514564286,7.57953,0.863105
"59","Kaifeng",4574.9,34.2133140376266,4.605499276411,13.7371924746744,15.8706222865412,20.0538046,6.819821198,2.90716737,3.103892981,6240,733.157051282051,51.6763207938971,13.461131743467,40.1515984670959,46.3872697894372,5.894171429,7.07621,1.546746
"60","Pingdingshan",5025.7,34.3363241678726,2.51331403762663,15.8117221418234,16.0112879884226,17.3422267,5.677745291,2.438665261,2.747080009,7882,637.617356001015,47.2101398810116,7.31969451749949,46.0495481826151,46.6307572998854,5.719878571,6.98534,1.389924
"61","Anyang",5192.2,32.2619392185239,2.86541244573082,14.4486251808972,14.9479015918958,18.3921357,5.95,2.29,2.61,7385,703.073798239675,42.9355571819267,8.88171174808236,44.7853586327547,46.332929619163,5.544992857,7.274945,1.40113
"62","Hebi",1631.5,14.3081041968162,0.923733719247467,8.58422575976845,4.8,15.1779812,6.15936255,2.583512105,2.628869139,2182,747.708524289642,60.6000612932884,6.45601755858763,59.9955496667307,33.5474213353023,5.7317,0,0
"63","Xinxiang",5814.3,42.2312590448625,3.67033285094067,19.371490593343,19.1894356005789,15.4271515,6.724799202,2.115473918,2.88942779,8291,701.278494753347,50.1897046936003,8.69103345235729,45.8700285794571,45.4389379681857,5.627171429,8.33949,1.434307
"64","Jiaozuo",3597.1,39.9580318379161,2.16787264833575,21.4211287988423,16.370477568741,16.5671494,7.12740819,2.622668261,2.694670707,4071,883.591255219848,76.7590559061466,5.42537394516678,53.6090688493716,40.9691789504183,5.808735714,2.562975,0.712511
"65","Puyang",3610.4,22.8869753979739,2.79479015918958,8.26179450072359,11.8303907380608,16.4562686,6.702858409,2.548194106,2.548194106,4188,862.082139446036,43.8037336583204,12.2112691196277,36.0982364731993,51.690494407173,5.935885714,1.927735,0.533939
"66","Xuchang",4462.1,49.1418234442836,2.34876989869754,26.5470332850941,20.246020260492,17.0348618,5.35353309,2.309002488,2.418816252,4997,892.955773464078,76.1009390197441,4.77957416732927,54.0212621845275,41.1991636481432,6.012478571,7.8727,1.764349
"67","Luohe",2668.2,22.8422575976845,1.99421128798842,10.5629522431259,10.2850940665702,19.6856263,5.754815981,2.232216476,2.571021663,2692,991.158989598811,59.1559853084477,8.73035985808414,46.2430309173847,45.0266092245312,5.773821429,9.102315,3.411407
"68","Nanyang",10031.6,55.2095513748191,8.2410998552822,18.3470332850941,28.6212735166425,16.9137609,6.150564217,2.960644364,3.209856852,26509,378.422422573466,38.0296263806372,14.9269458817608,33.2316289993657,51.8411629943014,5.922964286,34.488825,3.438018
"69","Shangqiu",7333.6,42.1302460202605,6.20723589001447,17.2717800289436,18.6512301013025,19.2156675,5.345583116,2.053977312,2.038414809,10704,685.127055306428,39.6967383004254,14.7334432536411,40.9961527892278,44.2704039571311,6.678592857,16.96647,2.313525
"70","Xinyang",6463.9,39.9199710564399,7.2027496382055,14.6004341534009,18.1167872648336,19.6960031,5.625087022,2.038397871,2.1315305,18787,344.062383563102,42.675010442612,18.0429730974054,36.5742603689727,45.3827665336219,6.221728571,74.214275,11.481346
"71","Zhoukou",8662.2,46.2878437047757,6.86729377713459,20.3474674384949,19.0730824891462,20.0612439,5.42,2.1357161,2.077994043,11961,724.203661901179,36.9246842603496,14.8360632673543,43.9585554433498,41.2053812892959,6.62495,21.963125,2.535513
"72","Zhumadian",7045.8,39.682489146165,6.77163531114327,15.9464544138929,16.9645441389291,18.6241181,6.188083681,1.632178035,1.901842232,15065,467.693328908065,38.917653069914,17.0645427160602,40.1851162994245,42.7507056738365,6.291371429,32.694515,4.640284
"73","Luoyang",6922.2,72.8639652677279,3.54703328509407,33.7279305354559,35.589001447178,18.0760429,7.653491664,3.014359597,3.479674092,15236,454.331845628774,72.735546502557,4.86802121194065,46.2889034538918,48.8430753341675,5.512228571,9.356045,1.3516
"74","Sanmenxia",2276.5,20.8946454413893,1.97076700434153,10.2008683068017,8.72301013024602,19.8157492,6.744564024,2.662420382,2.93740391,10496,216.892149390244,63.4227981550626,9.43192364699201,48.8204900887922,41.7475862642158,5.421814286,0,0
"79","Xuzhou",8825.6,103.492764109986,9.88133140376266,41.7681620839363,51.8432706222865,18.2835352,6.911711385,3.24,3.648477157,11765,750.157246068848,81.0296183828862,9.54784760919267,40.3585337034266,50.0936186873807,5.895957143,7.468095,0.846186
"82","Nantong",7318,135.794500723589,6.205499276411,66.6005788712012,62.9840810419682,31.9784641,6.285870456,2.869636513,3.00628587,10549,693.715044080008,128.223558349276,4.56977215081953,49.0451222371422,46.3819084766716,5.673485714,6.27843,0.857943
"83","Lianyungang",4511,45.4311143270622,5.24891461649783,19.7272069464544,20.45499276411,20.9709599,6.229217468,2.859676347,3.170028818,7615,592.383453709783,69.5918864996675,11.5535678449586,43.4222387864772,45.0241933685642,5.733521429,0,0
"84","Huaian",4932.6,56.0232995658466,5.589001447178,23.4034732272069,27.0308248914616,23.1250912,6.158212707,2.955642055,3.338604387,10030,491.784646061815,78.4821392369136,9.97620898892078,41.7745356103131,48.2492554007662,5.972735714,0,0
"85","Yancheng",7208.9,82.5224312590449,8.97105643994211,34.3212735166425,39.2301013024602,27.4557544,5.590311975,2.718861407,2.413683086,16931,425.781111570492,79.1008336916867,10.8710520316364,41.5902355190011,47.5387124493625,5.631885714,1.06757,0.148091
"86","Yangzhou",4549,84.6610709117221,4.23733719247467,40.2056439942113,40.2180897250362,28.0796811,5.494394372,2.760386898,2.661903715,6591,690.183583674708,128.601450868323,5.00505975986653,47.4901197932336,47.5048204468999,5.788485714,1.72968,0.380233
"87","Zhenjiang",3203.5,59.7296671490593,2.02894356005789,29.0128798842258,28.6878437047757,23.5754641,4.945840487,2.643670985,2.982987358,3840,834.244791666667,128.837833619479,3.39687739259374,48.5736506982739,48.0294719091323,5.344914286,0.267,0.0833
